Title,Link,Content,Location,Job Information
Accountant at Eko Maintenance Limited,https://www.hotnigerianjobs.com/hotjobs/444693/accountant-at-eko-maintenance-limited.html,"2 - 4 years’ experience in Investment Research, Investment Management, Fixed Income Trading or other alternative Buy-side function.",Lagos,"
** We are looking to hire an Accountant with good working experience in tax, TAX PROMAX, WHT, Input and output VAT, etc...
"
Chief Finance Officer at Syoj Consulting & Management Services Limited,https://www.hotnigerianjobs.com/hotjobs/444676/chief-finance-officer-at-syoj-consulting-managemen.html,"One (1) year of warehouse Audit experience, preferably in inventory",Lagos,"
** Must have B.Sc / HND in related fields
** Minimum of 10 years work experience
** Experience in Oil &amp; Gas is critical.
"
Finance Manager at Syoj Consulting & Management Services Limited,https://www.hotnigerianjobs.com/hotjobs/444675/finance-manager-at-syoj-consulting-management-serv.html,At least 5 years work experience in similar capacity.,Lagos,"
** Must have B.Sc / HND in related fields
** Minimum of 10 years work experience
** Experience in Oil &amp; Gas is critical.
"
Center Accountant / Facility Manager at National Institute of Information Technology,https://www.hotnigerianjobs.com/hotjobs/444663/center-accountant-facility-manager-at-national-ins.html,"Reports and Presentations: Preparation of strategy reports and presentations on quarterly, half-yearly and annual basis, or as required. The Position Holder is also responsible for actively participating in the preparation and delivery of client presentations when necessary.",Lagos,"
** Summarize current financial status by collecting information; preparing balance sheet, profit and loss statement and other reports
** Document financial transactions
** Verify, allocate, post and reconcile transactions
** Examining expenses submitted by employees
** Process Receipts for incoming payments
** Analyze financial information and summarize financial status
** Contribute to a strong client relationship through positive interactions with client
"
"Senior Manager, Finance and Accounts at a Leading NHIS Accredited National Health Maintenance Organization (HMO)",https://www.hotnigerianjobs.com/hotjobs/444633/senior-manager-finance-and-accounts-at-a-leading-n.html,Minimum of 3 years of work experience being a Junior Portfolio Manager and or Investment Analyst.,Abuja,"
** Oversee the company's finance and accounting activities, including budgeting and reporting. 
** Ensure compliance with legal and regulatory requirements. 
** Identify and address financial risks and opportunities for the company.
** Lead an efficient and effective financial support services team.
** Review financial performance to optimize cost and maximize revenue. 
** Support the Top Management in the achievement of Corporate Goals and Targets.
"
Benefits Processing Officer (Payments) at Guaranty Trust Holding Company (GTCO),https://www.hotnigerianjobs.com/hotjobs/444598/benefits-processing-officer-payments-at-guaranty-t.html,"Manage and oversee the daily operations of the accounting department including:
	",Lagos,"
"
Benefits Processing Officer (Document Management) at Guaranty Trust Holding Company (GTCO),https://www.hotnigerianjobs.com/hotjobs/444591/benefits-processing-officer-document-management-at.html,"
",Lagos,"
** Carry out Retiree post-retirement/ pre-retirement awareness for intending retirees 6 months prior to Retirement date.
** Attend to all enquiries and complaints from retirees or intending retirees with regards to accessing their Retirement Benefit.
** Review supporting documents attached to benefit application forms
** Process all received benefit withdrawal applications in the Benefit Application Register.
** Process and submit all benefit application with complete documents to the Commission for approval
** Process all benefit application approved for payment by the Commission.
"
Accountant at Whispering Palms Hotel And Resorts,https://www.hotnigerianjobs.com/hotjobs/444514/accountant-at-whispering-palms-hotel-and-resorts.html,"
",Lagos,"
** Gathering and interpreting information to evaluate the efficiency of financial procedures
** Analysing key financial data and advising senior management on strategic planning
** Developing and implementing cost-effective financial policies and procedures, as well as mitigating financial risks
** Preparing financial reports and budgets, as well as controlling and forecasting income and expenditure
** Overseeing accounting procedures and supervising junior financial department staff
** Monitoring auditing and taxation practices, as well as evaluating benefits and compensation packages
** Ensuring that financial management policies and procedures adhere to regulatory standards
** Performing financial recordkeeping, as well as protecting sensitive and confidential information
** Keeping informed of regulatory requirements and best practices in management accounting.
"
"Loan Officer, Secretary, Account Clerks and Office Clerks at Direct Danniel Investment Limited (DDIL)",https://www.hotnigerianjobs.com/hotjobs/444506/loan-officer-secretary-account-clerks-and-office-c.html,Month and end-year process,Abuja,"
** We are looking for office workers to fill the roles of an officer in Direct Daniel Investments and its’ seven (7) subsidiaries, the roles are: Loan Officer, Secretary, Account Clerks and Office Clerks. The candidate must be a resident of the state he/she is applying from.
** Clerks will be responsible for handling clerical tasks in our offices. You will be handling incoming phone calls and other communications, greeting clients and visitors, as well as managing files, updating paperwork and other documents, and performing other general office clerk duties and errands.
** If you have ANY of the following requirements including must be a permanent resident of the state he/she is applying from and have at least 4 sets of skills out of the skills listed below, you are eligible to apply.
"
Accountant at PC Recruit Nigeria ,https://www.hotnigerianjobs.com/hotjobs/444487/accountant-at-pc-recruit-nigeria.html,Candidates should possess an OND / NCE / HND / Bachelor's Degree with 0 - 5 years work experience,Lagos,"
** An experienced accountant is urgently needed for immediate employment in Lagos. Must be living within the Island.
"
Management Accountant at NetConstruct Nigeria Limited - Abuja & Lagos,https://www.hotnigerianjobs.com/hotjobs/444486/management-accountant-at-netconstruct-nigeria-limi.html,"8 - 11 years of professional experience in Internal Control and Risk Management, preferably in a Real Estate Industry.",Abuja,"
** We are seeking a highly capable management accountant to optimize our financial management systems. You will be performing financial analysis, preparing financial forecasts, and advising senior management on strategic planning.
** To ensure success as a management accountant, you should exhibit extensive knowledge of financial analysis and forecasting and experience in a similar environment. An outstanding management accountant will be someone whose financial accounting and business management expertise translates into sustained business growth.
"
Fundraising and Donor Relations Manager at Fadac Resources and Services Limited,https://www.hotnigerianjobs.com/hotjobs/444480/fundraising-and-donor-relations-manager-at-fadac-r.html,Bachelor's Degree in Accounting with 2 - 3 years’ work experience,Lagos,"
** Identify and develop innovative local and international fundraising and donor strategies (e.g., Individuals, Institutional Foundations, Family Offices, Corporates, etc.).
** Identify and develop financing strategies (e.g., infrastructure financing) appropriate for not-for-profits with developmental institutions (e.g., AFC, IFC, Afrexim), social impact funds, bonds, etc.
** Implement fundraising and donor strategies including preparing grant proposals, concept notes, donor response letters, quarterly newsletters, and maintaining accurate records.
** Implement financing strategies including determining requirements of financial institutions and developing appropriate applications and follow-up to achieve results.
** Develop and implement appropriate engagement and relationship-building strategies with donors and partners.
** Manage strategic partnerships and donor relations, including driving all phases of planning and execution of fundraising strategies.
** Liaise and maintain strong follow-through with prospective donors, foundations, corporates and financial institutions to crystallize pledges and enable successful financing applications.
** Manage relationships with existing donors, and establish new links with like-minded organizations and individuals willing to lend support to the initiative.
** Monitor donor funds and submit accurate periodic reports against key donor metrics.
** Manage the production and deployment of all fundraising collateral for various channels to ensure smooth and efficient communication with key stakeholders.
** Manage all donor requests and correspondences.
** Monitor all donor budgets and effectively manage variances.
** Develop quarterly milestones to meet fundraising targets.
** Support with any other tasks as may be required to meet the targets.
"
Female Accountant at Lightingcrown Global Consulting Services Limited,https://www.hotnigerianjobs.com/hotjobs/444476/female-accountant-at-lightingcrown-global-consulti.html,Minimum of 10 years work experience,Lagos,"
** You will be responsible for maintaining accurate accounting records, supporting operations, and assisting with clients' financial records.
** Controlling the payroll and reconciling bank statements
** Preparing accurate month-end account with comparison to forecast
** Preparing profit and loss account and the balance sheet for senior management
** Ensuring legislation is followed regarding VAT
** Perform month-end close reconciliation and financial analysis
** Assist with preparing budget and forecasts
** Prepare a monthly bank reconciliation for all company account
** Review vendor invoices and monthly statements to ensure all expenses are processed in the AP system
** Work with clients promptly.
** Preparing quarterly payroll tax returns, sales tax returns and other required tax filings
** Facilitate annual budgeting process and conduct in-depth analyses for financial projection and forecasting
** Prepare monthly financial statements for review by management.
"
Loan Officers (SME Businesses & LPO Financing) at Tempkers Limited,https://www.hotnigerianjobs.com/hotjobs/444465/loan-officers-sme-businesses-lpo-financing-at-temp.html,Minimum of 10 years work experience,Abuja,"
** Mobilization of customers for small business loans within Abuja and its environs, majorly Wuse, Utako, Garki, Kubwa markets. Etc.
** Generate leads into any of the Fast-Moving Consumer Goods (FMCG) markets through key distributor schemes. iii. Signing on, restaurants, supermarkets, pharmacies, food vendors (online &amp; offline).
** Contractors/Suppliers of NGOs etc.
** Verification of clients’ home and shop addresses in compliance with company’s guidelines and procedures.
** Participation in credit committee for loan appraisals where required.
** Recovery of overdue loans while ensuring cordial and long-term relationship with customers through excellent customer service.
** Appraising client’s business and capacity to service requested loan
** Capture all requires information (i.e. client &amp; guarantor’s name, address &amp; image. Business image and address).
** Post-disbursement monitoring. xi. Maintaining a healthy portfolio.
** Any other responsibility assigned by the Bank.
"
Finance Clerk at the International Rescue Committee (IRC),https://www.hotnigerianjobs.com/hotjobs/444455/finance-clerk-at-the-international-rescue-committe.html,1-2 years’ experience in similar field,Abuja,"
** The Finance Assistant will be a key member of the Yobe finance team and will contribute towards the achievement of the field’s finance objectives.
** Under the direction of the Finance Officer, the Finance Assistant maintains the cash books and is responsible for the accounts payable functions of the department.
"
Deposit Mobilization Officer at Tempkers Limited,https://www.hotnigerianjobs.com/hotjobs/444440/deposit-mobilization-officer-at-tempkers-limited.html,Minimum of three years experience in a senior management position. ,Abuja,"
** Ideal candidate must be target &amp; result oriented , mentally agile, innovative, accurate &amp; detailed oriented with great communication skills.
"
Senior Accountant at Ama-Zuma Group,https://www.hotnigerianjobs.com/hotjobs/444433/senior-accountant-at-amazuma-group.html,Age limit - above 40 years ,Lagos,"
** He is saddled with tracking cash flow and financial planning as well as analysing the company’s financial strength and weaknesses and proposing corrective actions.
"
